score,time,samples,cross_fold,n_test_samples,subject,session,channels,n_sessions,dataset,pipeline
0.16129032,22.885046,4140.0,0.0,62.0,1,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.2962963,22.885046,4140.0,0.0,54.0,1,1test,22,2,BNCI2014-001,CollapsedShallowNet
0.2542373,22.885046,4140.0,0.0,59.0,2,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.2631579,22.885046,4140.0,0.0,57.0,2,1test,22,2,BNCI2014-001,CollapsedShallowNet
0.29310346,22.885046,4140.0,0.0,58.0,3,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.41379312,22.885046,4140.0,0.0,58.0,3,1test,22,2,BNCI2014-001,CollapsedShallowNet
0.34375,22.885046,4140.0,0.0,64.0,4,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.28846154,22.885046,4140.0,0.0,52.0,4,1test,22,2,BNCI2014-001,CollapsedShallowNet
0.22222222,22.885046,4140.0,0.0,54.0,5,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.29032257,22.885046,4140.0,0.0,62.0,5,1test,22,2,BNCI2014-001,CollapsedShallowNet
0.18965517,22.885046,4140.0,0.0,58.0,6,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.22413793,22.885046,4140.0,0.0,58.0,6,1test,22,2,BNCI2014-001,CollapsedShallowNet
0.26153848,22.885046,4140.0,0.0,65.0,7,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.29411766,22.885046,4140.0,0.0,51.0,7,1test,22,2,BNCI2014-001,CollapsedShallowNet
0.3508772,22.885046,4140.0,0.0,57.0,8,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.33898306,22.885046,4140.0,0.0,59.0,8,1test,22,2,BNCI2014-001,CollapsedShallowNet
0.35185185,22.885046,4140.0,0.0,54.0,9,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.27419356,22.885046,4140.0,0.0,62.0,9,1test,22,2,BNCI2014-001,CollapsedShallowNet
