score,time,samples,cross_fold,n_test_samples,subject,session,channels,n_sessions,dataset,pipeline
0.28301886,60.2855,4140.0,0.0,53.0,1,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.22222222,60.2855,4140.0,0.0,63.0,1,1test,22,2,BNCI2014-001,ShallowFBCSPNet
0.27586207,60.2855,4140.0,0.0,58.0,2,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.22413793,60.2855,4140.0,0.0,58.0,2,1test,22,2,BNCI2014-001,ShallowFBCSPNet
0.20338982,60.2855,4140.0,0.0,59.0,3,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.2631579,60.2855,4140.0,0.0,57.0,3,1test,22,2,BNCI2014-001,ShallowFBCSPNet
0.2857143,60.2855,4140.0,0.0,56.0,4,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.2,60.2855,4140.0,0.0,60.0,4,1test,22,2,BNCI2014-001,ShallowFBCSPNet
0.26923078,60.2855,4140.0,0.0,52.0,5,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.265625,60.2855,4140.0,0.0,64.0,5,1test,22,2,BNCI2014-001,ShallowFBCSPNet
0.2982456,60.2855,4140.0,0.0,57.0,6,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.27118644,60.2855,4140.0,0.0,59.0,6,1test,22,2,BNCI2014-001,ShallowFBCSPNet
0.24528302,60.2855,4140.0,0.0,53.0,7,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.22222222,60.2855,4140.0,0.0,63.0,7,1test,22,2,BNCI2014-001,ShallowFBCSPNet
0.234375,60.2855,4140.0,0.0,64.0,8,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.28846154,60.2855,4140.0,0.0,52.0,8,1test,22,2,BNCI2014-001,ShallowFBCSPNet
0.28846154,60.2855,4140.0,0.0,52.0,9,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.3125,60.2855,4140.0,0.0,64.0,9,1test,22,2,BNCI2014-001,ShallowFBCSPNet
