score,time,samples,cross_fold,n_test_samples,subject,session,channels,n_sessions,dataset,pipeline
0.24561404,22.78511,4140.0,0.0,57.0,1,0train,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.2881356,22.78511,4140.0,0.0,59.0,1,1test,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.21818182,22.78511,4140.0,0.0,55.0,2,0train,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.24590164,22.78511,4140.0,0.0,61.0,2,1test,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.3125,22.78511,4140.0,0.0,64.0,3,0train,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.30769232,22.78511,4140.0,0.0,52.0,3,1test,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.2580645,22.78511,4140.0,0.0,62.0,4,0train,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.3148148,22.78511,4140.0,0.0,54.0,4,1test,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.31034482,22.78511,4140.0,0.0,58.0,5,0train,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.31034482,22.78511,4140.0,0.0,58.0,5,1test,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.3018868,22.78511,4140.0,0.0,53.0,6,0train,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.20634921,22.78511,4140.0,0.0,63.0,6,1test,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.20689656,22.78511,4140.0,0.0,58.0,7,0train,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.25862068,22.78511,4140.0,0.0,58.0,7,1test,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.3207547,22.78511,4140.0,0.0,53.0,8,0train,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.33333334,22.78511,4140.0,0.0,63.0,8,1test,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.27272728,22.78511,4140.0,0.0,66.0,9,0train,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.4,22.78511,4140.0,0.0,50.0,9,1test,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
