score,time,samples,cross_fold,n_test_samples,subject,session,channels,n_sessions,dataset,pipeline
0.28070176,62.446396,4140.0,0.0,57.0,1,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.30508474,62.446396,4140.0,0.0,59.0,1,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.27272728,62.446396,4140.0,0.0,55.0,2,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.26229507,62.446396,4140.0,0.0,61.0,2,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.26415095,62.446396,4140.0,0.0,53.0,3,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.3015873,62.446396,4140.0,0.0,63.0,3,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.27586207,62.446396,4140.0,0.0,58.0,4,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.31034482,62.446396,4140.0,0.0,58.0,4,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.18518518,62.446396,4140.0,0.0,54.0,5,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.24193548,62.446396,4140.0,0.0,62.0,5,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.29032257,62.446396,4140.0,0.0,62.0,6,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.18518518,62.446396,4140.0,0.0,54.0,6,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.18867925,62.446396,4140.0,0.0,53.0,7,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.33333334,62.446396,4140.0,0.0,63.0,7,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.2857143,62.446396,4140.0,0.0,56.0,8,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.26666668,62.446396,4140.0,0.0,60.0,8,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.2,62.446396,4140.0,0.0,60.0,9,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.3392857,62.446396,4140.0,0.0,56.0,9,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
