score,time,samples,cross_fold,n_test_samples,subject,session,channels,n_sessions,dataset,pipeline
0.21875,21.479673,4140.0,0.0,64.0,1,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.32692307,21.479673,4140.0,0.0,52.0,1,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.16393442,21.479673,4140.0,0.0,61.0,2,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.23636363,21.479673,4140.0,0.0,55.0,2,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.28070176,21.479673,4140.0,0.0,57.0,3,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.2542373,21.479673,4140.0,0.0,59.0,3,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.37288135,21.479673,4140.0,0.0,59.0,4,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.2631579,21.479673,4140.0,0.0,57.0,4,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.22950819,21.479673,4140.0,0.0,61.0,5,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.23636363,21.479673,4140.0,0.0,55.0,5,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.25757575,21.479673,4140.0,0.0,66.0,6,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.22,21.479673,4140.0,0.0,50.0,6,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.19402985,21.479673,4140.0,0.0,67.0,7,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.26530612,21.479673,4140.0,0.0,49.0,7,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.23636363,21.479673,4140.0,0.0,55.0,8,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.21311475,21.479673,4140.0,0.0,61.0,8,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.25757575,21.479673,4140.0,0.0,66.0,9,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.26,21.479673,4140.0,0.0,50.0,9,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
