score,time,samples,cross_fold,n_test_samples,subject,session,channels,n_sessions,dataset,pipeline
0.21875,21.479673,4140.0,0.0,64.0,1,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.32692307,21.479673,4140.0,0.0,52.0,1,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.16393442,21.479673,4140.0,0.0,61.0,2,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.23636363,21.479673,4140.0,0.0,55.0,2,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.28070176,21.479673,4140.0,0.0,57.0,3,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.2542373,21.479673,4140.0,0.0,59.0,3,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.37288135,21.479673,4140.0,0.0,59.0,4,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.2631579,21.479673,4140.0,0.0,57.0,4,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.22950819,21.479673,4140.0,0.0,61.0,5,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.23636363,21.479673,4140.0,0.0,55.0,5,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.25757575,21.479673,4140.0,0.0,66.0,6,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.22,21.479673,4140.0,0.0,50.0,6,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.19402985,21.479673,4140.0,0.0,67.0,7,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.26530612,21.479673,4140.0,0.0,49.0,7,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.23636363,21.479673,4140.0,0.0,55.0,8,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.21311475,21.479673,4140.0,0.0,61.0,8,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.25757575,21.479673,4140.0,0.0,66.0,9,0train,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.26,21.479673,4140.0,0.0,50.0,9,1test,22,2,BNCI2014-001,SubjectDicionaryFCNet
0.16129032,22.885046,4140.0,0.0,62.0,1,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.2962963,22.885046,4140.0,0.0,54.0,1,1test,22,2,BNCI2014-001,CollapsedShallowNet
0.2542373,22.885046,4140.0,0.0,59.0,2,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.2631579,22.885046,4140.0,0.0,57.0,2,1test,22,2,BNCI2014-001,CollapsedShallowNet
0.29310346,22.885046,4140.0,0.0,58.0,3,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.41379312,22.885046,4140.0,0.0,58.0,3,1test,22,2,BNCI2014-001,CollapsedShallowNet
0.34375,22.885046,4140.0,0.0,64.0,4,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.28846154,22.885046,4140.0,0.0,52.0,4,1test,22,2,BNCI2014-001,CollapsedShallowNet
0.22222222,22.885046,4140.0,0.0,54.0,5,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.29032257,22.885046,4140.0,0.0,62.0,5,1test,22,2,BNCI2014-001,CollapsedShallowNet
0.18965517,22.885046,4140.0,0.0,58.0,6,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.22413793,22.885046,4140.0,0.0,58.0,6,1test,22,2,BNCI2014-001,CollapsedShallowNet
0.26153848,22.885046,4140.0,0.0,65.0,7,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.29411766,22.885046,4140.0,0.0,51.0,7,1test,22,2,BNCI2014-001,CollapsedShallowNet
0.3508772,22.885046,4140.0,0.0,57.0,8,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.33898306,22.885046,4140.0,0.0,59.0,8,1test,22,2,BNCI2014-001,CollapsedShallowNet
0.35185185,22.885046,4140.0,0.0,54.0,9,0train,22,2,BNCI2014-001,CollapsedShallowNet
0.27419356,22.885046,4140.0,0.0,62.0,9,1test,22,2,BNCI2014-001,CollapsedShallowNet
0.28070176,62.446396,4140.0,0.0,57.0,1,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.30508474,62.446396,4140.0,0.0,59.0,1,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.27272728,62.446396,4140.0,0.0,55.0,2,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.26229507,62.446396,4140.0,0.0,61.0,2,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.26415095,62.446396,4140.0,0.0,53.0,3,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.3015873,62.446396,4140.0,0.0,63.0,3,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.27586207,62.446396,4140.0,0.0,58.0,4,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.31034482,62.446396,4140.0,0.0,58.0,4,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.18518518,62.446396,4140.0,0.0,54.0,5,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.24193548,62.446396,4140.0,0.0,62.0,5,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.29032257,62.446396,4140.0,0.0,62.0,6,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.18518518,62.446396,4140.0,0.0,54.0,6,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.18867925,62.446396,4140.0,0.0,53.0,7,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.33333334,62.446396,4140.0,0.0,63.0,7,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.2857143,62.446396,4140.0,0.0,56.0,8,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.26666668,62.446396,4140.0,0.0,60.0,8,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.2,62.446396,4140.0,0.0,60.0,9,0train,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.3392857,62.446396,4140.0,0.0,56.0,9,1test,22,2,BNCI2014-001,ShallowPrivateTemporalDictNetSlow
0.28301886,60.2855,4140.0,0.0,53.0,1,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.22222222,60.2855,4140.0,0.0,63.0,1,1test,22,2,BNCI2014-001,ShallowFBCSPNet
0.27586207,60.2855,4140.0,0.0,58.0,2,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.22413793,60.2855,4140.0,0.0,58.0,2,1test,22,2,BNCI2014-001,ShallowFBCSPNet
0.20338982,60.2855,4140.0,0.0,59.0,3,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.2631579,60.2855,4140.0,0.0,57.0,3,1test,22,2,BNCI2014-001,ShallowFBCSPNet
0.2857143,60.2855,4140.0,0.0,56.0,4,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.2,60.2855,4140.0,0.0,60.0,4,1test,22,2,BNCI2014-001,ShallowFBCSPNet
0.26923078,60.2855,4140.0,0.0,52.0,5,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.265625,60.2855,4140.0,0.0,64.0,5,1test,22,2,BNCI2014-001,ShallowFBCSPNet
0.2982456,60.2855,4140.0,0.0,57.0,6,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.27118644,60.2855,4140.0,0.0,59.0,6,1test,22,2,BNCI2014-001,ShallowFBCSPNet
0.24528302,60.2855,4140.0,0.0,53.0,7,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.22222222,60.2855,4140.0,0.0,63.0,7,1test,22,2,BNCI2014-001,ShallowFBCSPNet
0.234375,60.2855,4140.0,0.0,64.0,8,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.28846154,60.2855,4140.0,0.0,52.0,8,1test,22,2,BNCI2014-001,ShallowFBCSPNet
0.28846154,60.2855,4140.0,0.0,52.0,9,0train,22,2,BNCI2014-001,ShallowFBCSPNet
0.3125,60.2855,4140.0,0.0,64.0,9,1test,22,2,BNCI2014-001,ShallowFBCSPNet
0.3148148,60.68076,4140.0,0.0,54.0,1,0train,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.2580645,60.68076,4140.0,0.0,62.0,1,1test,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.20634921,60.68076,4140.0,0.0,63.0,2,0train,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.28301886,60.68076,4140.0,0.0,53.0,2,1test,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.26666668,60.68076,4140.0,0.0,60.0,3,0train,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.375,60.68076,4140.0,0.0,56.0,3,1test,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.22413793,60.68076,4140.0,0.0,58.0,4,0train,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.27586207,60.68076,4140.0,0.0,58.0,4,1test,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.25490198,60.68076,4140.0,0.0,51.0,5,0train,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.23076923,60.68076,4140.0,0.0,65.0,5,1test,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.31578946,60.68076,4140.0,0.0,57.0,6,0train,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.2881356,60.68076,4140.0,0.0,59.0,6,1test,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.25862068,60.68076,4140.0,0.0,58.0,7,0train,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.2413793,60.68076,4140.0,0.0,58.0,7,1test,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.296875,60.68076,4140.0,0.0,64.0,8,0train,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.32692307,60.68076,4140.0,0.0,52.0,8,1test,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.3283582,60.68076,4140.0,0.0,67.0,9,0train,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.36734694,60.68076,4140.0,0.0,49.0,9,1test,22,2,BNCI2014-001,ShallowPrivateSpatialDictNetSlow
0.24561404,22.78511,4140.0,0.0,57.0,1,0train,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.2881356,22.78511,4140.0,0.0,59.0,1,1test,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.21818182,22.78511,4140.0,0.0,55.0,2,0train,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.24590164,22.78511,4140.0,0.0,61.0,2,1test,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.3125,22.78511,4140.0,0.0,64.0,3,0train,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.30769232,22.78511,4140.0,0.0,52.0,3,1test,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.2580645,22.78511,4140.0,0.0,62.0,4,0train,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.3148148,22.78511,4140.0,0.0,54.0,4,1test,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.31034482,22.78511,4140.0,0.0,58.0,5,0train,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.31034482,22.78511,4140.0,0.0,58.0,5,1test,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.3018868,22.78511,4140.0,0.0,53.0,6,0train,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.20634921,22.78511,4140.0,0.0,63.0,6,1test,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
0.20689656,22.78511,4140.0,0.0,58.0,7,0train,22,2,BNCI2014-001,ShallowPrivateCollapsedDictNetSlow
